Product ID,Website SKU,Grace SKU,QB Match Status,Category,Family,Shape,Color,Capacity,Capacity (oz),Capacity (ml),Applicator,Cap Color,Cap Style,Neck Thread Size,Neck Thread (Web),Height with Cap,Height without Cap,Diameter,Bottle Weight (g),Case Weight (g),Case Quantity,QB Price,Web Price (1pc),Web Price (10pc),Web Price (12pc),Stock Status,Item Name,Item Description,Item Type (Web),Product Type (ML),Use Case Description,Product URL,Data Grade,Usage,Product Type,Bottle Collection,Component Group,Use Case URL
BB-AL-500-0001,Alu500,AB-ALU-CLR-500ML,Website Only - No QB Match,Aluminum Bottle,Aluminum Bottle,Standard,Clear,500 ml (16.91 oz),16.91,500,N/A,Clear,N/A,N/A,20-410,186 ±2 mm,178 ±2 mm,74 ±1 mm,70,22000,300,3.65,3.65,2.89,3.47,In Stock,Aluminum Bottle 500 ml (16.91 oz) Clear Aluminum Bottle,"Cylinder shaped, aluminum 500 ml bottle with white plug and tear off cap. For use with perfume oil, aromatic oils, fragrance oils and attars.",Aluminum Bottle with White Plug Cap,Aluminum Bottle,,https://www.bestbottles.com/product/Aluminum-Bottle-Can-white-cap-500ml,C — no applicator; no cap color; no thread,Travel & Portable,Aluminum Bottle,Travel & Aluminum Collection,N/A,https://www.bestbottles.com/product/Aluminum-Bottle-Can-white-cap-500ml
BB-AL-065-0001,Alu65mlLotionPumpBlack,AB-ALU-CLR-65ML-LPM-BLK,Website Only - No QB Match,Aluminum Bottle,Aluminum Bottle,Standard,Clear,65 ml (2.20 oz),2.2,65,Lotion Pump,Black,Pump,N/A,20-410,130 ±2 mm,105 ±2 mm,40 ±0.5 mm,70,22000,300,1.15,1.15,0.91,1.09,In Stock,Aluminum Bottle 65 ml (2.20 oz) Clear Aluminum Bottle with Lotion Pump Black Cap,"Cylinder shaped, brushed aluminum 65 ml bottle with lotion black pump. For use with lotion or treatment pump.",Aluminum Lotion Pump Bottle,Aluminum Bottle,,https://www.bestbottles.com/all-bottles/lotion-pump-cream-jars/lotion-pumps-bottles.php,B — no thread,Travel & Portable,Aluminum Bottle,Travel & Aluminum Collection,N/A,https://www.bestbottles.com/all-bottles/lotion-pump-cream-jars/lotion-pumps-bottles.php
BB-AL-065-0002,Alu65mlLotionPumpWhite,AB-CYL-WHT-65ML-LPM-WHT,Matched to QB,Aluminum Bottle,Cylinder,Standard,White,65 ml (2.2 oz),2.2,65,Lotion Pump,White,Pump,Aluminum,20-410,127 ±2 mm,94 ±1 mm,36 ±0.5 mm,28.93,22128.36,793,1.15,1.15,0.91,1.09,In Stock,Cylinder 65 ml (2.2 oz) White Aluminum Bottle with Lotion Pump White Cap,Cylinder 65 ml Wholesale Distributor of glass bottles and containers.,Lotion Bottles,Aluminum Bottle,"Wholesale Distributor of glass bottles and containers For use with lotion or treatment pump. brushed aluminum Cylinder bottle with lotion white. Capacity: 65 ml, 2.2 ounces",https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-65ml-bottle-white-lotion-pump,A,Travel & Portable,Aluminum Bottle,Cylinder Collection,N/A,
BB-CM-000-0011,AnSp18-415Blk,CMP-SPR-BLK-18-415-01,Matched to QB,Component,Sprayer,Antique Sprayer,Black,0 ml (0 oz),0,0,N/A,Black,Spray,18-415,18-415,38 ±0.5 mm,N/A,65 ±1 mm,N/A,N/A,500,4.25,4.25,3.37,4.04,In Stock,Sprayer Thread 18-415,Black Antique or Vintage style bulb sprayer with silver fittings. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-Black,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-Black
BB-CM-000-0012,AnSp18-415Gl,CMP-SPR-SGLD-18-415,Matched to QB,Component,Sprayer,Antique Sprayer,Gold,0 ml (0 oz),0,0,N/A,Shiny Gold,Spray,18-415,18-415,38 ±0.5 mm,N/A,65 ±1 mm,N/A,N/A,500,4.25,4.25,3.37,4.04,In Stock,Sprayer Thread 18-415,Gold Antique or Vintage style bulb sprayer with Gold fittings. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-gold,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-gold
BB-CM-000-0013,AnSp18-415IvyGl,CMP-SPR-IVGD-18-415-01,Matched to QB,Component,Sprayer,Antique Sprayer,Gold,0 ml (0 oz),0,0,N/A,Ivory Gold,Spray,18-415,18-415,38 ±0.5 mm,N/A,65 ±1 mm,N/A,N/A,500,4.25,4.25,3.37,4.04,Out of Stock,Sprayer Thread 18-415,Ivory Gold Antique or Vintage style bulb sprayer with Gold fittings. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-gold,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-gold
BB-CM-000-0014,AnSp18-415IvySl,CMP-SPR-IVSL-18-415-01,Matched to QB,Component,Sprayer,Antique Sprayer,Silver,0 ml (0 oz),0,0,N/A,Ivory Silver,Spray,18-415,18-415,38 ±0.5 mm,N/A,65 ±1 mm,N/A,N/A,500,4.25,4.25,3.37,4.04,In Stock,Sprayer Thread 18-415,Ivory Silver Antique or Vintage style bulb sprayer with silver fittings. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-silver,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-silver
BB-CM-000-0005,AnSp18-415Lvn,CMP-SPR-LVN-18-415-01,Matched to QB,Component,Sprayer,Antique Sprayer,Silver,0 ml (0 oz),0,0,N/A,Lavender,Spray,18-415,18-415,38 ±0.5 mm,N/A,65 ±1 mm,N/A,N/A,500,4.25,4.25,3.37,4.04,Out of Stock,Sprayer Thread 18-415,Lavender Antique or Vintage style bulb sprayer with silver fittings. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-lavender,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-lavender
BB-CM-000-0006,AnSp18-415MtSl,CMP-SPR-MSLV-18-415-01,Matched to QB,Component,Sprayer,Antique Sprayer,Silver,0 ml (0 oz),0,0,N/A,Matte Silver,Spray,18-415,18-415,38 ±0.5 mm,N/A,65 ±1 mm,N/A,N/A,500,4.25,4.25,3.37,4.04,In Stock,Sprayer Thread 18-415,Matte Silver Antique or Vintage style bulb sprayer with silver fittings. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-matte-silver,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-matte-silver
BB-CM-000-0007,AnSp18-415Red,CMP-SPR-RED-18-415-01,Matched to QB,Component,Sprayer,Antique Sprayer,Red,0 ml (0 oz),0,0,N/A,Red,Spray,18-415,18-415,38 ±0.5 mm,N/A,65 ±1 mm,N/A,N/A,500,4.25,4.25,3.37,4.04,Out of Stock,Sprayer Thread 18-415,Red Antique or Vintage style bulb sprayer with silver fittings. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-red,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-red
BB-CM-000-0008,AnSp18-415Wht,CMP-SPR-WHT-18-415-01,Matched to QB,Component,Sprayer,Antique Sprayer,White,0 ml (0 oz),0,0,N/A,White,Spray,18-415,18-415,38 ±0.5 mm,N/A,65 ±1 mm,N/A,N/A,500,4.25,4.25,3.37,4.04,In Stock,Sprayer Thread 18-415,White Antique or Vintage style bulb sprayer with silver fittings. Thread Size 18-415,Antique Sprayer,Antique Sprayer,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-white,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-white
BB-CM-000-0015,AnSpTsl18-415Blk,CMP-SPR-BLK-18-415-02,Matched to QB,Component,Sprayer,Antique Sprayer with Tassel,Black,0 ml (0 oz),0,0,N/A,Black,Spray,18-415,18-415,36 ±0.5 mm,N/A,21 ±0.5 mm,N/A,N/A,500,5,5,3.96,4.75,In Stock,Sprayer Thread 18-415,Black Antique or Vintage style bulb sprayer with tassel. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer with Tassel,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-Black-Tassel,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-Black-Tassel
BB-CM-000-0016,AnSpTsl18-415IvyGl,CMP-SPR-IVGD-18-415-02,Matched to QB,Component,Sprayer,Antique Sprayer with Tassel,Gold,0 ml (0 oz),0,0,N/A,Ivory Gold,Spray,18-415,18-415,36 ±0.5 mm,N/A,21 ±0.5 mm,N/A,N/A,500,5,5,3.96,4.75,In Stock,Sprayer Thread 18-415,Ivory Gold Antique or Vintage style bulb sprayer with Gold fittings and tassel. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer with Tassel,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-gold-Tassel,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-gold-Tassel
BB-CM-000-0017,AnSpTsl18-415IvySl,CMP-SPR-IVSL-18-415-02,Matched to QB,Component,Sprayer,Antique Sprayer with Tassel,Silver,0 ml (0 oz),0,0,N/A,Ivory Silver,Spray,18-415,18-415,36 ±0.5 mm,N/A,21 ±0.5 mm,N/A,N/A,500,5,5,3.96,4.75,In Stock,Sprayer Thread 18-415,Ivory Silver Antique or Vintage style bulb sprayer with silver fittings and tassel. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer with Tassel,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-silver-Tassel,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-silver-Tassel
BB-CM-000-0018,AnSpTsl18-415Lvn,CMP-SPR-LVN-18-415-02,Matched to QB,Component,Sprayer,Antique Sprayer with Tassel,Silver,0 ml (0 oz),0,0,N/A,Lavender,Spray,18-415,18-415,36 ±0.5 mm,N/A,21 ±0.5 mm,N/A,N/A,500,5,5,3.96,4.75,In Stock,Sprayer Thread 18-415,Lavender Antique or Vintage style bulb sprayer with silver fittings and tassel. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer with Tassel,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-lavender-Tassel,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-lavender-Tassel
BB-CM-000-0019,AnSpTsl18-415MtS,CMP-SPR-MSLV-18-415-02,Matched to QB,Component,Sprayer,Antique Sprayer with Tassel,Silver,0 ml (0 oz),0,0,N/A,Matte Silver,Spray,18-415,18-415,36 ±0.5 mm,N/A,21 ±0.5 mm,N/A,N/A,500,5,5,3.96,4.75,In Stock,Sprayer Thread 18-415,Matte Silver Antique or Vintage style bulb sprayer with tassel. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer with Tassel,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-matte-silver-Tassel,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-matte-silver-Tassel
BB-CM-000-0020,AnSpTsl18-415Pnk,CMP-SPR-PNK-18-415,Matched to QB,Component,Sprayer,Antique Sprayer with Tassel,Pink,0 ml (0 oz),0,0,N/A,Pink,Spray,18-415,18-415,36 ±0.5 mm,N/A,21 ±0.5 mm,N/A,N/A,500,5,5,3.96,4.75,In Stock,Sprayer Thread 18-415,"Pink, Antique or Vintage style bulb sprayer with Gold fittings and tassel. Thread Size 18-415....","Caps, Rollon Plugs and Spray Tops",Antique Sprayer with Tassel,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-pink-Tassel,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-pink-Tassel
BB-CM-000-0021,AnSpTsl18-415Red,CMP-SPR-RED-18-415-02,Matched to QB,Component,Sprayer,Antique Sprayer with Tassel,Red,0 ml (0 oz),0,0,N/A,Red,Spray,18-415,18-415,36 ±0.5 mm,N/A,21 ±0.5 mm,N/A,N/A,500,5,5,3.96,4.75,In Stock,Sprayer Thread 18-415,"Red, Antique or Vintage style bulb sprayer with Silver fittings and tassel. Thread Size 18-415....","Caps, Rollon Plugs and Spray Tops",Antique Sprayer with Tassel,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-red-Tassel,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-red-Tassel
BB-CM-000-0022,AnSpTsl18-415Wht,CMP-SPR-WHT-18-415-02,Matched to QB,Component,Sprayer,Antique Sprayer with Tassel,White,0 ml (0 oz),0,0,N/A,White,Spray,18-415,18-415,36 ±0.5 mm,N/A,21 ±0.5 mm,N/A,N/A,500,5,5,3.96,4.75,In Stock,Sprayer Thread 18-415,White Antique or Vintage style bulb sprayer with silver fittings and tassel. Thread Size 18-415....,"Caps, Rollon Plugs and Spray Tops",Antique Sprayer with Tassel,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-white-Tassel,B — no color,Perfume & Fragrance,Antique Sprayer,N/A,Antique & Vintage Sprayers,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-white-Tassel
BB-BX-000-0001,Box-4x4x4,PKG-BOX-WHT-4X4X4,Website Only - No QB Match,Packaging Box,Gift Box,Corrugated Box,White,0 ml (0 oz),0,0,N/A,White,N/A,N/A,N/A,101.6,N/A,101.6x101.6mm,N/A,N/A,N/A,0.3,0.3,0.23,0.28,In Stock,Gift Box White Corrugated 4x4x4,"White corrugated gift box, 4x4x4 inches. For packaging and shipping bottles.",Corrugated Gift Box,Packaging Box,,https://www.bestbottles.com/all-bottles/accessories/bestbottles-gift-boxes.php,C — no color,Bridal & Gift,Packaging Box,N/A,Gift Boxes,https://www.bestbottles.com/all-bottles/accessories/bestbottles-gift-boxes.php
BB-BX-000-0002,Box-5x5x5,PKG-BOX-WHT-5X5X5,Website Only - No QB Match,Packaging Box,Gift Box,Corrugated Box,White,0 ml (0 oz),0,0,N/A,White,N/A,N/A,N/A,127,N/A,127x127mm,N/A,N/A,N/A,0.45,0.45,0.35,0.42,In Stock,Gift Box White Corrugated 5x5x5,"White corrugated gift box, 5x5x5 inches. For packaging and shipping bottles.",Corrugated Gift Box,Packaging Box,Packaging and shipping,https://www.bestbottles.com/product/Brown-Shipping-Packaging-Box-5x5x5,C — no color,Bridal & Gift,Packaging Box,N/A,Gift Boxes,
BB-OT-000-0003,BoxBWndwBlueFthr,PKG-BOX-BWIN-WHT,Matched to QB,Other,Gift Box,Window Box B,Blue,0 ml (0 oz),0,0,N/A,Blue,N/A,N/A,N/A,74.8,89 ±1 mm,23.7,71.5,10871.43,357,0.35,0.35,0.33,3.99,In Stock,Gift Box B Window,"Blue Feather design folding carton box with window. Size 1.5\x 1.5""x 3.5",Gift Boxes,Packaging Box,,https://www.bestbottles.com/product/Gift-box-B-small-window-Blue-feather,C — no color,Bridal & Gift,Gift Packaging,N/A,Gift Packaging,https://www.bestbottles.com/product/Gift-box-B-small-window-Blue-feather
BB-OT-000-0004,BoxBWndwEarthBrush,PKG-BOX-BWIN-WHT,Matched to QB,Other,Gift Box,Window Box B,N/A,0 ml (0 oz),0,0,N/A,N/A,N/A,N/A,N/A,74.8,89 ±1 mm,23.7,71.5,10871.43,357,0.35,0.35,0.33,3.99,In Stock,Gift Box B Window,"Earth Brush design folding carton box with window. Size 1.5\x 1.5""x 3.5",Gift Boxes,Packaging Box,,https://www.bestbottles.com/product/Gift-box-B-small-window-earth-brush,C — no color,Bridal & Gift,Gift Packaging,N/A,Gift Packaging,https://www.bestbottles.com/product/Gift-box-B-small-window-earth-brush
BB-OT-000-0005,BoxBWndwGreenBrush,PKG-BOX-BWIN-WHT,Matched to QB,Other,Gift Box,Window Box B,Green,0 ml (0 oz),0,0,N/A,Green,N/A,N/A,N/A,74.8,89 ±1 mm,23.7,71.5,10871.43,357,0.35,0.35,0.33,3.99,In Stock,Gift Box B Window,"Green Brush design folding carton box with window. Size 1.5\x 1.5""x 3.5",Gift Boxes,Packaging Box,,https://www.bestbottles.com/product/Gift-box-B-small-window-Green-brush,C — no color,Bridal & Gift,Gift Packaging,N/A,Gift Packaging,https://www.bestbottles.com/product/Gift-box-B-small-window-Green-brush
BB-OT-000-0006,BoxBWndwOrngShade,PKG-BOX-BWIN-WHT,Matched to QB,Other,Gift Box,Window Box B,N/A,0 ml (0 oz),0,0,N/A,N/A,N/A,N/A,N/A,74.8,89 ±1 mm,23.7,71.5,10871.43,357,0.35,0.35,0.33,3.99,In Stock,Gift Box B Window,"Orange Shade design folding carton box with window. Size: 1.5\deep x 1.5""Wide x 3.5",Gift Boxes,Packaging Box,,https://www.bestbottles.com/product/Gift-box-B-small-window-Orange-Shade,C — no color,Bridal & Gift,Gift Packaging,N/A,Gift Packaging,https://www.bestbottles.com/product/Gift-box-B-small-window-Orange-Shade
BB-OT-000-0007,BoxCWndwBlueDots,PKG-BOX-CWIN-WHT,Matched to QB,Other,Gift Box,Window Box C,Blue,0 ml (0 oz),0,0,N/A,Blue,N/A,N/A,N/A,74.8,89 ±1 mm,23.7,71.5,10871.43,357,0.35,0.35,0.33,3.99,In Stock,Gift Box C Window,Blue Shade Dot design folding carton box with window. Size 0.75,Gift Boxes,Packaging Box,,https://www.bestbottles.com/product/Gift-box-C-small-window-Blue-dots,C — no color,Bridal & Gift,Gift Packaging,N/A,Gift Packaging,https://www.bestbottles.com/product/Gift-box-C-small-window-Blue-dots
BB-OT-000-0008,BoxCWndwGreenPrint,PKG-BOX-CWIN-WHT,Matched to QB,Other,Gift Box,Window Box C,Green,0 ml (0 oz),0,0,N/A,Green,N/A,N/A,N/A,74.8,89 ±1 mm,23.7,71.5,10871.43,357,0.35,0.35,0.33,3.99,In Stock,Gift Box C Window,Green Print design folding carton box with window. Size 0.75,Gift Boxes,Packaging Box,,https://www.bestbottles.com/product/Gift-box-C-small-window-Green-print,C — no color,Bridal & Gift,Gift Packaging,N/A,Gift Packaging,https://www.bestbottles.com/product/Gift-box-C-small-window-Green-print
