reviewGroupKey,descriptorSignature,slotProposals,neckFinishEvidence,applicatorEvidence,capStyleEvidence,sourceIdentities,appearanceEvidence,sourceReferenceUrls,sourceIdentityCount,sourceReferenceObservedCount,localVariantCount,localGeometryFamilyIds,localAuthorityMaskSha256,status,priority,geometryClaim,nextGate,issues
geometry-review__dropper__17-415__a38fb41beb,dropper :: 17-415 :: Dropper :: Dropper,dropper,17-415,Dropper,Dropper,Droppers1ozElg,Amber,,1,0,0,,,source-incomplete,P0-TRUTH,unverified-descriptor-cluster,Obtain missing component imagery and physical dimensions before authority creation or geometry grouping.,one-or-more-source-identities-lack-component-image-reference | release-slot-contract-extension-required
geometry-review__sprayer__13-415__c502bb6eb5,sprayer :: 13-415 :: Fine Mist Sprayer :: Spray,sprayer,13-415,Fine Mist Sprayer,Spray,13-415CAP4SpryCuMt | 13-415CAP4SpryGlSh | 13-415CAP4SprySlMt | CP13-415SpryBlkMt | CP13-415SpryBlkSh | CP13-415SpryBluMt | CP13-415SpryGlMt | CP13-415SpryGlSh | CP13-415SprySlMt | CP13-415SprySlSh | GBATom5RedBurg,Black | Blue | Matte Copper | Matte Silver | Red | Shiny Gold | Silver,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-CAP-13-415__CP13-415SpryBluMt__pdp-main__v001_88e76cc2-dd02-4693-9c77-b63df85d0fbf.png?v=1781252658 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-CAP-BLK-13-415-01__CP13-415SpryBlkMt__pdp-main__v001_06db11c7-bb67-4e6b-a40c-46b8a16f2e9f.png?v=1781252661 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-CAP-BLK-13-415-02__CP13-415SpryBlkSh__pdp-main__v001_87a77651-0d79-41d2-a6d6-87e6e276490a.png?v=1781252661 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-CAP-SGLD-13-415-02__CP13-415SpryGlMt__pdp-main__v001_92103745-fcb4-414e-b59a-08313f61ff6b.png?v=1781252665 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-CAP-SGLD-13-415-03__CP13-415SpryGlSh__pdp-main__v001_b806de2c-0f21-4550-892a-47c1bda2b77f.png?v=1781252665 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-CAP-SLV-13-415-02__CP13-415SprySlMt__pdp-main__v001_b46daa3f-51d7-4769-9f42-83734e7666b4.png?v=1781252669 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-CAP-SLV-13-415-03__CP13-415SprySlSh__pdp-main__v001_62935185-d87a-40cd-ac6a-24172e39d78e.png?v=1781252669 | https://www.bestbottles.com/images/store/enlarged_pics/CP13-415SpryBlkMt.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP13-415SpryBlkSh.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP13-415SpryBluMt.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP13-415SpryGlMt.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP13-415SpryGlSh.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP13-415SprySlMt.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP13-415SprySlSh.gif,11,7,0,,,source-incomplete,P0-TRUTH,unverified-descriptor-cluster,Obtain missing component imagery and physical dimensions before authority creation or geometry grouping.,duplicate-source-rows-require-alias-review | one-or-more-source-identities-lack-component-image-reference
geometry-review__sprayer__18-415__82e32a9e9a,sprayer :: 18-415 :: Fine Mist Sprayer :: Spray,sprayer,18-415,Fine Mist Sprayer,Spray,18-415CAP4SpryMtGl | 18-415CAP4SpryShnBlk,Matte Gold | Shiny Black,,2,0,0,,,source-incomplete,P0-TRUTH,unverified-descriptor-cluster,Obtain missing component imagery and physical dimensions before authority creation or geometry grouping.,one-or-more-source-identities-lack-component-image-reference
geometry-review__cap__17-415__d970d8bbcd,cap :: 17-415 :: Plastic Roller Ball :: Roll-On,cap,17-415,Plastic Roller Ball,Roll-On,CpRoll17-415BlkDot | CpRoll17-415Cu | CpRoll17-415MattGl | CpRoll17-415MattSl | CpRoll17-415PnkDot | CpRoll17-415ShnBlk | CpRoll17-415ShnGl | CpRoll17-415ShnSl | CpRoll17-415SlDot | CpRoll17-415White,Black | Copper | Matte Gold | Matte Silver | Pink | Shiny Black | Shiny Gold | Shiny Silver | Silver | White,https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415BlkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415Cu.gif | https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415MattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415MattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415PnkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415ShnBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415ShnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415ShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415SlDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415White.gif,10,10,10,closure__17-415__rollon-overcap__v2,46c5d1690912fcd01982d7adc36bf1f40057050a4274dadae2c97f6ca21ff1be,verified-local-shared-authority,P0-VERIFY,verified-local-exact-alpha,"Preserve the exact shared authority mask; complete named material, family-fit, placement, and release approval.",
geometry-review__bulb-sprayer__18-415__274c4512c4,bulb-sprayer :: 18-415 :: Cap/Closure :: none,bulb-sprayer,18-415,Cap/Closure,,CP18-415AnSpPnk,Pink,https://www.bestbottles.com/images/store/enlarged_pics/AnSp18-415Pnk.gif,1,1,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,release-slot-contract-extension-required
geometry-review__bulb-sprayer__18-415__e2b095d953,bulb-sprayer :: 18-415 :: Fine Mist Sprayer :: Spray,bulb-sprayer,18-415,Fine Mist Sprayer,Spray,CP18-415AnSpTslGl,Gold,https://www.bestbottles.com/images/store/enlarged_pics/AnSpTsl18-415Gl.gif,1,1,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,release-slot-contract-extension-required
geometry-review__bulb-sprayer__18-415__6314ffe5b1,bulb-sprayer :: 18-415 :: none :: Spray,bulb-sprayer,18-415,,Spray,AnSp18-415Blk | AnSp18-415Gl,Black | Shiny Gold,https://www.bestbottles.com/images/store/enlarged_pics/AnSp18-415Blk.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSp18-415Gl.gif,2,2,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,release-slot-contract-extension-required
geometry-review__bulb-sprayer__unknown-neck__855d48f60c,bulb-sprayer :: unknown-neck :: N/A :: none,bulb-sprayer,,N/A,,AntqSprBulbLavender,Lavender,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-LVN-BULB__AntqSprBulbLavender__pdp-main__v001.png?v=1781252634,1,1,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,release-slot-contract-extension-required
geometry-review__bulb-sprayer-sprayer__18-415__ebc56aeb09,bulb-sprayer+sprayer :: 18-415 :: none :: Spray,bulb-sprayer | sprayer,18-415,,Spray,AnSp18-415IvyGl | AnSp18-415IvySl | AnSp18-415Lvn | AnSp18-415MtSl | AnSp18-415Red | AnSp18-415Wht | AnSpTsl18-415Blk | AnSpTsl18-415IvyGl | AnSpTsl18-415IvySl | AnSpTsl18-415Lvn | AnSpTsl18-415MtS | AnSpTsl18-415Pnk | AnSpTsl18-415Red | AnSpTsl18-415Wht,Black | Gold | Ivory | Lavender | Matte Silver | Pink | Red | Silver | White,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-BLK-18-415-02__AnSpTsl18-415Blk__pdp-main__v001_63c8c56f-5265-486a-b36d-936dfb2cb501.png?v=1781252123 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-IVGD-18-415-01__AnSp18-415IvyGl__pdp-main__v001_a7aa6bbe-2238-4b4d-995b-ddf97692da26.png?v=1781252123 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-IVGD-18-415-02__AnSpTsl18-415IvyGl__pdp-main__v001_d72e8275-77b9-4797-8746-84b981074862.png?v=1781252123 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-IVSL-18-415-01__AnSp18-415IvySl__pdp-main__v001_4f430eab-d3fc-4f6b-b4c1-1c8484d5bbd1.png?v=1781252123 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-IVSL-18-415-02__AnSpTsl18-415IvySl__pdp-main__v001_57a00653-a705-4033-b10d-482009c7e742.png?v=1781252123 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-LVN-18-415-01__AnSp18-415Lvn__pdp-main__v001_05643dfc-766c-4230-a1bb-26fe74e58302.png?v=1781252123 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-LVN-18-415-02__AnSpTsl18-415Lvn__pdp-main__v001_d9e2cd2b-90c2-4bbd-8415-6f6ae1e62888.png?v=1781252123 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-MSLV-18-415-01__AnSp18-415MtSl__pdp-main__v001_55e4c050-bf11-4acf-a702-b3b2079d9002.png?v=1781252123 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-MSLV-18-415-02__AnSpTsl18-415MtS__pdp-main__v001_05735831-fb3d-44bc-80be-5576a8fee274.png?v=1781252122 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-PNK-18-415__AnSpTsl18-415Pnk__pdp-main__v001_f71c68fb-331f-4600-b9e1-745067db8a32.png?v=1781252123 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-RED-18-415-01__AnSp18-415Red__pdp-main__v001_dcc69524-5577-417e-91ab-466081910bb0.png?v=1781252122 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-RED-18-415-02__AnSpTsl18-415Red__pdp-main__v001_a81cdb4d-c9c5-456a-8e6b-ec343dbe6f0e.png?v=1781252123 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-WHT-18-415-01__AnSp18-415Wht__pdp-main__v001_38b296db-e25d-480b-9bfc-f93663f84b75.png?v=1781252123 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-WHT-18-415-02__AnSpTsl18-415Wht__pdp-main__v001_7a28d13a-365a-4b08-b888-72d288d35b9c.png?v=1781252123 | https://www.bestbottles.com/images/store/enlarged_pics/AnSp18-415IvyGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSp18-415IvySl.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSp18-415Lvn.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSp18-415MtSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSp18-415Red.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSp18-415Wht.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSpTsl18-415Blk.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSpTsl18-415IvyGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSpTsl18-415IvySl.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSpTsl18-415Lvn.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSpTsl18-415MtS.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSpTsl18-415Pnk.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSpTsl18-415Red.gif | https://www.bestbottles.com/images/store/enlarged_pics/AnSpTsl18-415Wht.gif,14,14,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,conflicting-slot-proposal | duplicate-source-rows-require-alias-review | release-slot-contract-extension-required
geometry-review__cap__13-415__bd7f336278,cap :: 13-415 :: Cap/Closure :: none,cap,13-415,Cap/Closure,,CP13-415Gl | CP13-415Sl,Shiny Gold | Silver,https://www.bestbottles.com/images/store/enlarged_pics/CP13-415Gl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP13-415Sl.gif,2,2,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__13-415__5b5524f566,cap :: 13-415 :: Cap/Closure :: Short,cap,13-415,Cap/Closure,Short,CP13-415BlkSht | CP13-415WhtSht,Black | White,https://www.bestbottles.com/images/store/enlarged_pics/CP13-415BlkSht.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP13-415WhtSht.gif,2,2,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__13-415__e45a8a2c38,cap :: 13-415 :: Plastic Roller Ball :: Roll-On,cap,13-415,Plastic Roller Ball,Roll-On,CPRoll13-415BlackDot | CPRoll13-415BlkSh | CPRoll13-415Cu | CPRoll13-415GlMt | CPRoll13-415GlSh | CPRoll13-415PinkDot | CPRoll13-415SlDot | CPRoll13-415SlMt | CPRoll13-415SlSh,Black | Copper | Pink | Shiny Gold | Silver,https://www.bestbottles.com/images/store/enlarged_pics/CPRoll13-415BlackDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll13-415BlkSh.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll13-415Cu.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll13-415GlMt.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll13-415GlSh.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll13-415PinkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll13-415SlDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll13-415SlMt.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll13-415SlSh.gif,9,9,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__15-415__6962075287,cap :: 15-415 :: Cap/Closure :: none,cap,15-415,Cap/Closure,,CP15-415ShnGl | CP15-415ShnSl,Shiny Gold | Shiny Silver,https://www.bestbottles.com/images/store/enlarged_pics/CP15-415ShnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP15-415ShnSl.gif,2,2,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__18-400__075c71e858,cap :: 18-400 :: Cap/Closure :: Short,cap,18-400,Cap/Closure,Short,18-400CpShortBlk,Black,https://www.bestbottles.com/images/store/enlarged_pics/CP18-400ShortBlk.gif,1,1,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__18-400__7b644a08b3,cap :: 18-400 :: none :: Applicator,cap,18-400,,Applicator,18-400CpAppBlk,Black,https://www.bestbottles.com/images/store/enlarged_pics/CP18-400AppBlk.gif,1,1,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__18-415__a49d784871,cap :: 18-415 :: Cap/Closure :: Faux Leather,cap,18-415,Cap/Closure,Faux Leather,CP18-415BlkLthr | CP18-415BrwnLthr | CP18-415LBrwnLthr | CP18-415LIvyLthr | CP18-415LPnkLthr,Black | Brown | Ivory | Pink,https://www.bestbottles.com/images/store/enlarged_pics/CP18-415BlkLthr.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP18-415BrwnLthr.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP18-415LBrwnLthr.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP18-415LIvyLthr.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP18-415LPnkLthr.gif,5,5,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__18-415__5ca9162ae8,cap :: 18-415 :: Cap/Closure :: none,cap,18-415,Cap/Closure,,CP18-415Wh,White,https://www.bestbottles.com/images/store/enlarged_pics/CP18-415Wh.gif,1,1,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__18-415__5ef8879454,cap :: 18-415 :: Cap/Closure :: Short,cap,18-415,Cap/Closure,Short,CP18-415MtSl | CP18-415ShnGl | CP18-415ShnSl,Matte Silver | Shiny Gold | Shiny Silver,https://www.bestbottles.com/images/store/enlarged_pics/CP18-415MtSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP18-415ShnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP18-415ShnSl.gif,3,3,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__18-415__6137704566,cap :: 18-415 :: Cap/Closure :: Tall,cap,18-415,Cap/Closure,Tall,CP18-415MtSlTall | CP18-415ShnBlkTall,Matte Silver | Shiny Black,https://www.bestbottles.com/images/store/enlarged_pics/CP18-415MtSlTall.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP18-415ShnBlkTall.gif,2,2,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__20-400__75550d33bd,cap :: 20-400 :: Cap/Closure :: Short,cap,20-400,Cap/Closure,Short,20-400Cp2ozShortBlk | 20-400cp1ozShortBlk,Black,https://www.bestbottles.com/images/store/enlarged_pics/CP20-4001ozShortBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP20-4002ozShortBlk.gif,2,2,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__20-400__50b30653ff,cap :: 20-400 :: Plastic Roller Ball :: Tall,cap,20-400,Plastic Roller Ball,Tall,CPRoll20-400TallMattBlk | CPRoll20-400TallMattGl | CPRoll20-400TallMattSl | CPRoll20-400TallShnBlk | CPRoll20-400TallShnGl | CPRoll20-400TallShnSl,Black | Gold | Silver,https://www.bestbottles.com/images/store/enlarged_pics/CPRoll20-400TallMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll20-400TallMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll20-400TallMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll20-400TallShnBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll20-400TallShnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CPRoll20-400TallShnSl.gif,6,6,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__8-425__b0a7b8c0cf,cap :: 8-425 :: Cap/Closure :: Short,cap,8-425,Cap/Closure,Short,8-425CpShortBlack | 8-425CpShortWhite,Black | White,https://www.bestbottles.com/images/store/enlarged_pics/CP8-425ShortBlack.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP8-425ShortWhite.gif,2,2,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__cap__8-425__840de1544d,cap :: 8-425 :: Cap/Closure :: Tall,cap,8-425,Cap/Closure,Tall,CP8-425TallBlack | CP8-425TallShnGl | CP8-425TallShnSl,Black | Gold | Silver,https://www.bestbottles.com/images/store/enlarged_pics/CP8-425TallBlack.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP8-425TallShnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/CP8-425TallShnSl.gif,3,3,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,
geometry-review__dropper__18-400__faf1ea000e,dropper :: 18-400 :: Dropper :: Dropper,dropper,18-400,Dropper,Dropper,Drp18-40015mlShnGlTrimBlkBulb | Drp18-40015mlShnGlTrimWhiteBulb | Drp18-40015mlShnSlTrimBlkBulb | Drp18-40015mlShnSlTrimWhiteBulb | Drp18-40015mlWhiteBulb,Black | White,https://www.bestbottles.com/images/store/enlarged_pics/Drp18-40015mlShnGlTrimBlkBulb.gif | https://www.bestbottles.com/images/store/enlarged_pics/Drp18-40015mlShnGlTrimWhiteBulb.gif | https://www.bestbottles.com/images/store/enlarged_pics/Drp18-40015mlShnSlTrimBlkBulb.gif | https://www.bestbottles.com/images/store/enlarged_pics/Drp18-40015mlShnSlTrimWhiteBulb.gif | https://www.bestbottles.com/images/store/enlarged_pics/Drp18-40015mlWhiteBulb.gif,5,5,0,,,source-ready-physical-review,P1-PRODUCE,unverified-descriptor-cluster,Review source silhouettes and obtain/confirm physical dimensions; split or register one authority before material production.,release-slot-contract-extension-required
