lineNumber,shotId,recordType,plateType,family,capacityMl,neckFinish,geometryOrAuthorityKey,appearance,materialEvidence,sourceIdentity,sourceReferenceUrls,catalogSkuCount,cohortKeys,status,priority,authorityStatus,compatibilityStatus,nextGate,existingAssetPaths,existingAssetSha256,notes
11,shot__component__cap__17-415__cproll17-415shnblk__2bd8fa64,component-source,cap,Roll-On Cap,,17-415,component__cap__17-415__cproll17-415shnblk__2bd8fa64,Plastic Roller Ball · Roll-On · Shiny Black,Component (see capStyle/applicator),CpRoll17-415ShnBlk,https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415ShnBlk.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/closure__17-415__rollon-overcap__v2__mask.png | outputs/paper-doll-plates/cap-regen-sources/CpRoll17-415ShnBlk.png,371e59fa7400223900a82121dd2508176bf20e34e699bc44cf2e280e51a82e43 | 46c5d1690912fcd01982d7adc36bf1f40057050a4274dadae2c97f6ca21ff1be,
12,shot__component__cap__17-415__cproll17-415shngl__55ef4abc,component-source,cap,Roll-On Cap,,17-415,component__cap__17-415__cproll17-415shngl__55ef4abc,Plastic Roller Ball · Roll-On · Shiny Gold,Component (see capStyle/applicator),CpRoll17-415ShnGl,https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415ShnGl.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/closure__17-415__rollon-overcap__v2__mask.png | outputs/paper-doll-plates/cap-regen-sources/CpRoll17-415ShnGl.png,0105445b1a6e978a8cfcdb6de66e7eca2c90ae1f4e5677a463f0fc8a045c7992 | 46c5d1690912fcd01982d7adc36bf1f40057050a4274dadae2c97f6ca21ff1be,
13,shot__component__cap__17-415__cproll17-415shnsl__576019c5,component-source,cap,Roll-On Cap,,17-415,component__cap__17-415__cproll17-415shnsl__576019c5,Plastic Roller Ball · Roll-On · Shiny Silver,Component (see capStyle/applicator),CpRoll17-415ShnSl,https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415ShnSl.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/closure__17-415__rollon-overcap__v2__mask.png | outputs/paper-doll-plates/cap-regen-sources/CpRoll17-415ShnSl.png,023227623dacac68bc3cf8951ba5834af03d6a3539a39486d7d83fd3845a9220 | 46c5d1690912fcd01982d7adc36bf1f40057050a4274dadae2c97f6ca21ff1be,
14,shot__component__cap__17-415__cproll17-415sldot__6a4ba828,component-source,cap,Roll-On Cap,,17-415,component__cap__17-415__cproll17-415sldot__6a4ba828,Plastic Roller Ball · Roll-On · Silver,Component (see capStyle/applicator),CpRoll17-415SlDot,https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415SlDot.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/closure__17-415__rollon-overcap__v2__mask.png | outputs/paper-doll-plates/cap-regen-sources/CpRoll17-415SlDot.png,1ecde0caa9f33792b010d6ba876c1b98e59cd821a65d2263a24008d5fef458e2 | 46c5d1690912fcd01982d7adc36bf1f40057050a4274dadae2c97f6ca21ff1be,
15,shot__component__cap__17-415__cproll17-415white__20a5400a,component-source,cap,Roll-On Cap,,17-415,component__cap__17-415__cproll17-415white__20a5400a,Plastic Roller Ball · Roll-On · White,Component (see capStyle/applicator),CpRoll17-415White,https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415White.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/closure__17-415__rollon-overcap__v2__mask.png | outputs/paper-doll-plates/cap-regen-sources/CpRoll17-415White.png,46c5d1690912fcd01982d7adc36bf1f40057050a4274dadae2c97f6ca21ff1be | 47f7377150209b401e013ad640610feaeb529ac13054deee388420eeeb8ebd6d,
16,shot__component__pump__17-415__ltn17-415blk__ccca00d1,component-source,pump,Roll-On Cap,,17-415,component__pump__17-415__ltn17-415blk__ccca00d1,Black · Pump,Component (see capStyle/applicator),Ltn17-415Blk,https://www.bestbottles.com/images/store/enlarged_pics/Ltn17-415Blk.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/pump__17-415__BLK__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/Ltn17-415Blk.png,67c467bb0cb91f6f50e16742c02aaf1a621562c7fe534635a5d0be4155341553 | c543dce2d771a63605b9c64a502e07bdb7a0360fea72894dc8f52bf6ee8f2a10,
17,shot__component__pump__17-415__ltn17-415mattsl__a9b5e97c,component-source,pump,Roll-On Cap,,17-415,component__pump__17-415__ltn17-415mattsl__a9b5e97c,Matte Silver · Pump,Component (see capStyle/applicator),Ltn17-415MattSl,https://www.bestbottles.com/images/store/enlarged_pics/Ltn17-415MattSl.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/pump__17-415__MSLV__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/Ltn17-415MattSl.png,52c046c8c292506f81819c951b81b9038625a1a6c9420f0b14b1d8c2fb09e687 | a93d64fa7aabec45b17dc27a0d4a86988fef29e12bd028c2ca8a88f725082ca0,
18,shot__component__pump__17-415__ltn17-415gl__d57ebb10,component-source,pump,Roll-On Cap,,17-415,component__pump__17-415__ltn17-415gl__d57ebb10,Pump · Shiny Gold,Component (see capStyle/applicator),Ltn17-415Gl,https://www.bestbottles.com/images/store/enlarged_pics/Ltn17-415Gl.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/pump__17-415__GLD__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/Ltn17-415Gl.png,3977798c8268fbbadb8f5b3034ca4c3e726c1f606f69fd0e1156baa526104402 | 96b91ce40b5baac460fd9aa6a331bb418f012c41055e6311b068acceaa17db0a,
19,shot__component__sprayer__17-415__spry17-415blk__24fc6c13,component-source,sprayer,Sprayer,,17-415,component__sprayer__17-415__spry17-415blk__24fc6c13,Black · Fine Mist Sprayer · Spray,Component (see capStyle/applicator),Spry17-415Blk,https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415Blk.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/sprayer__17-415__BLK__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/Spry17-415Blk.png,67c467bb0cb91f6f50e16742c02aaf1a621562c7fe534635a5d0be4155341553 | cb5f3b0859321744fc8d4ac36e98f7b93b978ef1562f3e466bb7b754df5c3e21,
20,shot__component__sprayer__17-415__spry17-415mattsl__e023a319,component-source,sprayer,Sprayer,,17-415,component__sprayer__17-415__spry17-415mattsl__e023a319,Fine Mist Sprayer · Matte Silver · Spray,Component (see capStyle/applicator),Spry17-415MattSl,https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415MattSl.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/sprayer__17-415__MSLV__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/Spry17-415MattSl.png,52c046c8c292506f81819c951b81b9038625a1a6c9420f0b14b1d8c2fb09e687 | a1d4328aea3d3f5aa75e6008b652e8c1e4c38c3e43492b7d3f9e00b7b604d8bb,
21,shot__component__sprayer__17-415__spry17-415red__0838df8e,component-source,sprayer,Sprayer,,17-415,component__sprayer__17-415__spry17-415red__0838df8e,Fine Mist Sprayer · Red · Spray,Component (see capStyle/applicator),Spry17-415Red,https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415Red.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/sprayer__17-415__RED__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/Spry17-415Red.png,2d49558a6719439312542fa7093987c28c348a544db9a6650a8fe7d14bc84da9 | d41143f9dcaaaa2784a99631e1eec0f74aac939433a6a2d1be698fdca37c4819,
22,shot__component__sprayer__17-415__spry17-415tur__6eec082c,component-source,sprayer,Sprayer,,17-415,component__sprayer__17-415__spry17-415tur__6eec082c,Fine Mist Sprayer · Shiny · Spray,Component (see capStyle/applicator),Spry17-415Tur,https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415Tur.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/sprayer__17-415__TUR__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/Spry17-415Tur.png,2dfbb5b81ff3d32f57fa3989909b5a334597723eba16da79e1d4f9d6d0d07160 | 8389128411835efd64cf70b2d303bc33fc65ddfde9fb189455a21ba739f4e9ba,
23,shot__component__sprayer__17-415__spry17-415gl__d7d8886d,component-source,sprayer,Sprayer,,17-415,component__sprayer__17-415__spry17-415gl__d7d8886d,Fine Mist Sprayer · Shiny Gold · Spray,Component (see capStyle/applicator),Spry17-415Gl,https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415Gl.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/sprayer__17-415__GLD__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/Spry17-415Gl.png,3977798c8268fbbadb8f5b3034ca4c3e726c1f606f69fd0e1156baa526104402 | 6a38f9a617fb299e031ee50ba5fbc4352c5f8bfa338d276396f1ad86b6df2574,
24,shot__component__sprayer__17-415__spry17-415shnsl__0617217c,component-source,sprayer,Sprayer,,17-415,component__sprayer__17-415__spry17-415shnsl__0617217c,Fine Mist Sprayer · Shiny Silver · Spray,Component (see capStyle/applicator),Spry17-415ShnSl,https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415ShnSl.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/sprayer__17-415__SSLV__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/Spry17-415ShnSl.png,3349fdc0b740905fcb6193499d92eff913479116faf5b981a64d03fb5f1df042 | 624e60c8f927ba1da00db3ff254b7cbcd2eb7e7ffe40daa3ab5ed41fcd9a884e,
25,shot__supplemental__overcap-17-415-lotion-trns__lotion-trns,supplemental-existing,overcap,CYL-9ML local pilot,9,17-415,overcap__17-415__lotion-translucent__v1,lotion-translucent,translucent,,,,CYL-9ML-17-415,authority-existing-local,P0-VERIFY,approved,local-pilot-only,Retain local authority; establish exact catalog source/compatibility identity before cross-family reuse.,assets/paper-doll/authority-masks/cyl9/overcap__17-415__lotion-translucent__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/OverCap17-415-Lotion-Translucent.png,1b5980d6e673e9defe20c16721c694dc5c3ee99614dcf128d0c11f83a5ed05ce | ed1a5c17d4fada850e3a41bee36a01ad8829b6adeeb13b29d26306dddca69470,Local functional plate has no independent canonical component-source row.
26,shot__supplemental__overcap-17-415-spray-trns__spray-trns,supplemental-existing,overcap,CYL-9ML local pilot,9,17-415,overcap__17-415__spray-translucent__v1,spray-translucent,translucent,,,,CYL-9ML-17-415,authority-existing-local,P0-VERIFY,approved,local-pilot-only,Retain local authority; establish exact catalog source/compatibility identity before cross-family reuse.,assets/paper-doll/authority-masks/cyl9/overcap__17-415__spray-translucent__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/OverCap17-415-Spray-Translucent.png,4aeb97ec447c8db30721da98ff6058f3ac1268303d1d864f8d1519fa926a85ba | da32c09f468e80be9d5f9410f4e69b403a82d011757e9ea60a6127e66de46e12,Local functional plate has no independent canonical component-source row.
27,shot__supplemental__roller-17-415-metal__metal,supplemental-existing,roller,CYL-9ML local pilot,9,17-415,roller__17-415__shared__v1,mirror-chrome-ball,roller-steel-ball,,,,CYL-9ML-17-415,authority-existing-local,P0-VERIFY,approved,local-pilot-only,Retain local authority; establish exact catalog source/compatibility identity before cross-family reuse.,assets/paper-doll/authority-masks/cyl9/roller__17-415__shared__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/RollerBall17-415-Metal.png,b02b1d26a2dff724a4d19b5edce062073cc19a703cbc62a22ad782605739af41 | d81c15b7658d3e410994123b709f63f99e0fc3339a9ded1c8e11cb118f400034,Local functional plate has no independent canonical component-source row.
28,shot__supplemental__roller-17-415-plastic__plastic,supplemental-existing,roller,CYL-9ML local pilot,9,17-415,roller__17-415__shared__v1,natural-plastic,roller-plastic,,,,CYL-9ML-17-415,authority-existing-local,P0-VERIFY,approved,local-pilot-only,Retain local authority; establish exact catalog source/compatibility identity before cross-family reuse.,assets/paper-doll/authority-masks/cyl9/roller__17-415__shared__v1__mask.png | outputs/paper-doll-plates/cap-regen-sources/RollerBall17-415-Plastic.png,8930a975f0013ecf539e282926d57e79222c3e698906c975e092a847b92855a9 | b02b1d26a2dff724a4d19b5edce062073cc19a703cbc62a22ad782605739af41,Local functional plate has no independent canonical component-source row.
29,shot__body__aluminum-bottle__65ml__94x36x36.0__385555e6ac__clear,body-appearance,body,Aluminum Bottle,65,20-410,body__aluminum-bottle__65ml__94x36x36.0__385555e6ac,Clear,Aluminum (brushed),,https://www.bestbottles.com/images/store/enlarged_pics/Alu65mlLotionPumpBlack.gif,1,ALUMINUM-BOTTLE-65ML-20-410,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,convex_height_corrected_by_site(was=105.0)×1 | convex_widthaxis_corrected_by_site(was=40.0)×1
30,shot__body__aluminum-bottle__65ml__94x36x36.0__385555e6ac__white,body-appearance,body,Aluminum Bottle,65,20-410,body__aluminum-bottle__65ml__94x36x36.0__385555e6ac,White,Aluminum (brushed),,https://www.bestbottles.com/images/store/enlarged_pics/Alu65mlLotionPumpWhite.gif,1,ALUMINUM-BOTTLE-65ML-20-410,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,convex_height_corrected_by_site(was=105.0)×1 | convex_widthaxis_corrected_by_site(was=40.0)×1
31,shot__body__aluminum-bottle__250ml__128x60x60.0__e8297c0518__clear,body-appearance,body,Aluminum Bottle,250,20-410,body__aluminum-bottle__250ml__128x60x60.0__e8297c0518,Clear,Aluminum (brushed),,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1779263753602-a62a4b27-dd0f-4fe9-99ee-aa4c1661a3c1_50e823bc-3c02-443d-b26b-a7b27b3a696a.png?v=1781510385,1,ALUMINUM-BOTTLE-250ML-20-410,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,d:override_applied×1 | h:override_applied×1
